Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,Chrome 135.0.7049.85,,,18-04-2025 01:20:05,18-04-2025 01:20:25,20.000s,FAILED
,,,,,,,
Test Cases/WEB/TC05_Login 05,Chrome 135.0.7049.85,,,18-04-2025 01:20:05,18-04-2025 01:20:11,5.977s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",Chrome 135.0.7049.85,,,18-04-2025 01:20:05,18-04-2025 01:20:08,2.705s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.7049.85,,,18-04-2025 01:20:08,18-04-2025 01:20:10,2.551s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.7049.85,,,18-04-2025 01:20:10,18-04-2025 01:20:11,0.490s,FAILED
,,,,,,,
Test Cases/WEB/TC04_Login 04,Chrome 135.0.7049.85,,,18-04-2025 01:20:11,18-04-2025 01:20:14,2.921s,FAILED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
"openBrowser("""")",Chrome 135.0.7049.85,,,18-04-2025 01:20:11,18-04-2025 01:20:12,1.025s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.7049.85,,,18-04-2025 01:20:12,18-04-2025 01:20:13,1.655s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.7049.85,,,18-04-2025 01:20:13,18-04-2025 01:20:14,0.172s,FAILED
,,,,,,,
Test Cases/WEB/TC03_Login 03,Chrome 135.0.7049.85,,,18-04-2025 01:20:14,18-04-2025 01:20:17,3.104s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",Chrome 135.0.7049.85,,,18-04-2025 01:20:14,18-04-2025 01:20:15,0.881s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.7049.85,,,18-04-2025 01:20:15,18-04-2025 01:20:17,2.043s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.7049.85,,,18-04-2025 01:20:17,18-04-2025 01:20:17,0.162s,FAILED
,,,,,,,
Test Cases/WEB/TC02_Login 02,Chrome 135.0.7049.85,,,18-04-2025 01:20:17,18-04-2025 01:20:21,3.938s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",Chrome 135.0.7049.85,,,18-04-2025 01:20:17,18-04-2025 01:20:18,0.864s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.7049.85,,,18-04-2025 01:20:18,18-04-2025 01:20:20,2.653s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.7049.85,,,18-04-2025 01:20:20,18-04-2025 01:20:21,0.398s,FAILED
,,,,,,,
Test Cases/WEB/TC01_Load Page,Chrome 135.0.7049.85,,,18-04-2025 01:20:21,18-04-2025 01:20:25,3.833s,FAILED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",Chrome 135.0.7049.85,,,18-04-2025 01:20:21,18-04-2025 01:20:21,0.004s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.7049.85,,,18-04-2025 01:20:21,18-04-2025 01:20:24,3.522s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.7049.85,,,18-04-2025 01:20:24,18-04-2025 01:20:25,0.145s,FAILED
